day,rain,temp,humi,wind
20230611,0.0,22.612500041666667,72.29166666666667,1.8666666666666665
20230612,0.0,22.40416666666667,68.41666666666667,1.7666666666666666
20230613,0.0,21.487499916666668,72.08333333333333,2.2583333333333333
20230614,1.275,21.004166541666667,79.5,1.375
20230615,0.0,22.941666833333333,70.16666666666667,2.125
20230616,0.0,23.820833375000003,59.75,2.033333333333333
20230617,0.0,24.675,59.083333333333336,2.1625
20230618,0.0,26.891666666666666,59.833333333333336,2.369565217391304
20230619,0.0,28.491666666666664,56.625,1.7625
20230620,1.2666666666666666,22.78333358333333,76.375,2.3375
20230621,0.0333333333333333,20.604166791666668,87.5,1.6666666666666667
20230622,0.0,22.78749983333333,78.79166666666667,2.2958333333333334
20230623,0.0,22.125,72.3913043478261,1.6391304347826088
20230624,0.0,26.86666679166667,71.125,1.8833333333333333
20230625,0.6208333333333333,28.112499875,65.04166666666667,2.395833333333333
20230626,0.7458333333333332,23.51666695833333,91.33333333333331,3.4565217391304346
20230627,0.0,26.2,70.75,2.5791666666666666
20230628,0.2458333333333333,26.82916670833333,79.625,2.3000000000000003
20230629,2.437500041666667,23.666666541666668,98.20833333333331,2.3916666666666666
20230630,0.0166666666666666,25.73750008333333,85.58333333333333,1.4375
20230701,0.0,27.541666791666668,76.08333333333333,2.2416666666666667
20230702,0.0,27.0,80.08333333333333,1.8333333333333333
20230703,0.0,29.59166679166667,69.20833333333333,1.9166666666666667
20230704,3.2125000000000004,24.979166875,90.83333333333331,3.1375
20230705,0.0,24.55416658333333,79.16666666666667,2.954166666666667
20230706,0.0,27.78333333333333,67.25,2.533333333333333
20230707,0.0,25.9708335,67.04166666666667,2.6166666666666667
20230708,0.0,26.637500125000003,78.125,2.0791666666666666
20230709,2.458333333333333,24.133333125,89.25,1.675
20230710,0.125,26.9625,78.125,2.3291666666666666
20230711,2.333333333333333,22.71250004166667,96.29166666666669,1.7583333333333335
20230712,0.0041666666666666,26.741666625,83.45833333333333,1.5458333333333334
20230713,6.341666583333333,24.816666625,97.83333333333331,2.208333333333333
20230714,0.5583333333333333,24.54166658333333,99.25,2.9
20230715,0.0375,24.35833320833333,91.29166666666669,3.108333333333333
20230716,0.3999999999999999,24.575000166666666,89.04166666666667,1.8791666666666669
20230717,0.0875,25.620833291666667,87.08333333333333,1.5958333333333332
20230718,0.0666666666666666,24.862499875,87.625,1.3708333333333331
20230719,0.0,27.71250008333333,77.0,1.7958333333333334
20230720,0.0,28.183333416666667,72.5,1.9541666666666664
20230721,0.0,29.97083308333333,66.79166666666667,2.25
20230722,1.6375,26.758333458333336,81.41666666666667,2.6916666666666664
20230723,0.5666666666666668,25.2625,93.91666666666669,1.8541666666666667
20230724,0.0041666666666666,27.3291665,81.625,2.0375
20230725,0.2291666666666666,27.645833291666666,80.75,2.529166666666667
20230726,0.0416666666666666,27.35000020833333,83.95833333333333,2.2625
20230727,0.0,28.82916675,76.08333333333333,1.6958333333333335
20230728,0.0,29.629166625,70.41666666666667,1.9375
20230729,0.0,28.887500333333332,70.16666666666667,2.0708333333333333
20230730,1.0458333333333334,28.54166695833333,76.29166666666667,1.75
20230731,0.0124999999999999,28.720833166666665,74.79166666666667,1.875
20230801,0.0,30.329166333333333,72.54166666666667,1.6
20230802,0.0,29.300000125,66.875,2.1625
20230803,0.0,29.658333541666668,66.5,2.0083333333333333
20230804,0.0,29.995833375,67.08333333333333,1.9833333333333332
20230805,0.0,30.550000166666667,71.625,2.0166666666666666
20230806,0.2041666666666666,29.4916665,74.875,2.3625000000000003
20230807,0.0,30.29166645833333,64.875,2.891666666666667
20230808,0.0,30.904166541666665,60.0,2.895833333333333
20230809,0.2374999999999999,27.062499791666667,74.70833333333333,3.154166666666667
20230810,4.154166666666667,21.933333375,95.125,3.591666666666667
20230811,1.1583333333333334,23.95416670833333,90.58333333333331,1.7666666666666666
20230812,0.0541666666666666,23.20416675,90.5,2.020833333333333
20230813,0.0,27.83749979166667,76.75,1.3458333333333332
20230814,0.0,27.991666541666664,72.04166666666667,1.9875
20230815,0.0,28.312499875,70.70833333333333,2.225
20230816,0.0124999999999999,27.30833320833333,75.29166666666667,1.7125
20230817,0.0,28.554166791666663,72.04166666666667,1.6916666666666669
20230818,0.0041666666666666,29.316666583333333,71.54166666666667,1.8
20230819,0.0,28.68333320833333,69.79166666666667,1.8833333333333333
20230820,0.0,28.5458335,70.875,1.825
20230821,0.0124999999999999,29.849999916666665,68.95833333333333,2.652173913043478
